status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
390581294464059_698455223676663,"Saya pernah tinggal di Aceh. Saya ingat, hampir setiap pagi menikmati kopi gayo. Ini  jenis kopi yang enak sekali.

Mengingat itu, dan bahwa di daerah lain pun banyak terdapat kopi yang sangat spesial dan memiliki harga yang sangat bagus, kenapa ini tidak kita tanam? Kenapa tidak kita remajakan?

Di arena Pekan Nasional Petani Nelayan 2017 di Banda Aceh, kemarin, saya mengingatkan kepada gubernur, walikota, dan bupati untuk mulai mencari tanaman-tanaman unggulan di daerahnya yang memiliki harga jual yang baik. Jangan terpaku pada tanaman-tanaman tertentu saja.

Kakao dan kopi adalah contoh dari komoditas yang memiliki harga jual yang baik. Untuk kakao misalnya, permintaan di dalam negeri tinggi tapi suplainya masih kurang. Harga kopi juga naik terus. Selain itu, ada mete yang harganya juga baik. Kenapa tidak kita tanam?

Foto: Biro Pers Setpres",Timeline Photos,photo,https://www.facebook.com/Jokowi/photos/a.395824410606414.1073741848.390581294464059/698455223676663/?type=3,2017-05-06 22:18:14,20584,1164,784
390581294464059_698178693704316,"Terima kasih Yadian yang ganteng atas video kirimannya untuk #JokowiMenjawab. Sekarang saya jadi paham apa itu Hokage dan Konoha.

Apakah saya mampu menjadikan negara kita seperti Konoha dalam kepemimpinan Uzumaki Naruto yang tenteram, damai, alim dan disiplin? Saya jawab Insya Allah. Dengan ijin Allah dan kerja keras kita semua, pasti bisa.

Mengenai kunjungan ke Pondok Pesantren Al-Khoirot di Malang, saya pun berharap semoga ada kesempatan ke sana.",,video,https://www.facebook.com/Jokowi/videos/698178693704316/,2017-05-06 07:06:45,30567,2505,8271
390581294464059_698058523716333,"Apa makna Hari Kartini untuk kamu? Ini pertanyaan dari saya tepat pada hari kelahiran Raden Ajeng Kartini, 21 April lalu, di laman Facebook ini.

Ternyata, pertanyaan itu menuai jawaban yang sungguh-sungguh beragam. Ada 5.246 komentar yang masuk, 3.258 jawaban di antaranya secara langsung merespon pertanyaan itu. Topik-topik jawabannya terentang dari soal kesetaraan hak perempuan dan laki-laki, hak untuk mendapatkan pendidikan, peran perempuan sebagai ibu untuk menjadi teladan ke anak, perempuan dapat berkarya, sampai pada Kartini sebagai Pahlawan. 

Dari jawaban-jawaban itulah sebuah tim kecil menentukan sepuluh orang yang berhak menerima buku terjemahan kumpulan surat-surat Kartini, Habis Gelap Terbitlah Terang, terbitan Balai Pustaka. Halaman depan setiap buku itu saya tandatangani sebagai ungkapan terima kasih.

Kepada para pemenang saya sampaikan selamat. Mohon untuk mengirimkan salinan kartu identitas KTP, alamat pengiriman dan nomor telepon yang bisa dihubungi melalui pesan pribadi (inbox) di Facebook Presiden Joko Widodo.",Timeline Photos,photo,https://www.facebook.com/Jokowi/photos/a.395824410606414.1073741848.390581294464059/698058523716333/?type=3,2017-05-05 22:19:10,9085,475,252
390581294464059_697669470421905,"Dulu saya pun pernah tinggal di rumah kontrakan. Kamarnya ada dua. Sembilan tahun lamanya mengontrak, baru bisa beli rumah. Alhamdulillah.

Rumah kontrakan saya dulu itu kurang lebih sama dengan yang saya resmikan kemarin sore  di Villa Kencana Cikarang, Jalan Raya Pulo Sirih, Sukakarya, Kabupaten Bekasi. Ini rumah layak huni dan terjangkau bagi masyarakat berpenghasilan rendah.

Sebanyak 8.749 unit rumah tipe 25 dengan luas tanah 60 meter persegi akan dibangun di Villa Kencana. Dari rencana itu, sebanyak 4.734 unit telah diselesaikan dan 3.600 unit di antaranya telah dilakukan akad jual beli.

Harganya Rp112-141 juta. Rumah-rumah ini dapat dibeli dengan uang muka satu persen saja dan cicilan sebesar Rp700-900 ribu per bulan. Pemerintah juga memberikan bantuan uang muka dan administrasi sebesar Rp4 juta.

Saya memastikan bahwa pemerintah akan terus mengupayakan hunian yang layak dan terjangkau bagi masyarakat. Tak hanya di Pulau Jawa saja, tapi juga di pulau-pulau lainnya di seluruh Indonesia. Sebagaimana Rusunami yang pembangunannya sudah dimulai di Tangerang Selatan beberapa waktu lalu, rumah-rumah di Villa Kencana ini bagian dari program sejuta rumah yang digagas pemerintah.",Timeline Photos,photo,https://www.facebook.com/Jokowi/photos/a.395824410606414.1073741848.390581294464059/697669470421905/?type=3,2017-05-05 04:00:00,69952,9021,17183
390581294464059_697537950435057,"Di kehidupan global saat ini, semakin banyak negara yang menjadikan Indonesia sebagai panutan dalam mengelola kemajemukan dengan tetap mempertahankan kerukunan.

Itulah yang saya sampaikan dalam silaturahmi dengan para peserta Musabaqah Hafalan Alquran dan Hadis Pangeran Sultan bin Abdul Aziz Alu Su’ud Tingkat ASEAN dan Pasifik ke-8 Tahun 2017. Musabaqah ini berlangsung selama dua hari, tanggal 2-3 Mei lalu, di Masjid Istiqlal, Jakarta.

Umat Islam sudah -- dan perlu terus -- menunjukkan kepada dunia bahwa Islam adalah agama yang cinta damai, agama yang menjauhi fitnah, agama yang menjauhi kekerasan, dan agama yang rahmatan lil alamin

Semangat untuk membaca, mendalami, menghayati, dan mengamalkan isi serta ajaran Alquran harus menjadi bagian dari nafas kehidupan sehari-hari setiap umat muslim.  Yang paling penting dari semua adalah mengamalkan ajaran Alquran di luar kompetisi musabaqah ini.

Kepada para qori/qoriah, hafiz/hafizah, mufasir/mufasirah yang meraih peringkat dan juara dalam musabaqah ini, saya mengucapkan selamat.

Foto: Biro Pers Setpres",Timeline Photos,photo,https://www.facebook.com/Jokowi/photos/a.395824410606414.1073741848.390581294464059/697537950435057/?type=3,2017-05-04 21:00:51,32312,1513,1304
390581294464059_697312740457578,"Sepeda-sepeda dari Presiden Joko Widodo dengan pelat khusus berisi pesan:  ""Terus Melaju"" untuk para pemenang kuis berhadiah #SepedaJokowi .

Sebagaimana kehidupan dan kebangsaan, kita semua harus terus bergerak ke depan, bersama Indonesia yang maju.

Teruslah melaju ....",,video,https://www.facebook.com/Jokowi/videos/697312740457578/,2017-05-04 07:36:16,26158,2430,2311
390581294464059_697131417142377,"Indonesia menjadi tuan rumah perhelatan World Press Freedom Day 2017 di saat dunia pers menghadapi tantangan terbesar dalam perjalanannya, yaitu banyaknya hoaks, berita bohong dan ujaran kebencian.  Kita juga masih melihat sejumlah jurnalis yang menghadapi kekerasan di berbagai belahan dunia.

Sudah semestinya bagi media mainstream, media online dan seluruh pihak untuk bersama-sama meluruskan dan menjernihkan berita-berita yang tidak benar. Jangan malah diangkat atau diviralkan.

Pada peringatan Hari Kebebasan Pers Dunia 2017 di Jakarta semalam, saya menggambarkan kondisi saat terjadi krisis keuangan di Asia pada tahun 1997. Namun krisis pulalah yang melahirkan masyarakat Indonesia yang kuat dan dinamis. Dan yang terpenting adalah lahirnya kebebasan berpolitik, termasuk kebebasan mengemukakan pendapat dan kebebasan pers.

Dalam dua puluh tahun terakhir ini tidak kurang telah terjadi empat kali pergantian pemerintahan yang berlangsung dengan damai. Kita tidak dapat melakukan ini tanpa peran serta pers nasional dan dunia. Sejak era reformasi di akhir 1990, pers yang bebas memainkan peranan penting dalam menjaga jalannya pemerintahan yang akuntabel serta mengungkap dan memerangi korupsi.  

Saya berharap agar kebebasan yang telah didapatkan oleh insan pers dapat diiringi dengan tanggung jawab yang nyata. 

Foto: Biro Pers Setpres",Timeline Photos,photo,https://www.facebook.com/Jokowi/photos/a.395824410606414.1073741848.390581294464059/697131417142377/?type=3,2017-05-03 21:03:49,12451,759,568
390581294464059_696448483877337,"Saya menyambut para pegiat literasi dengan sukacita di istana hari ini. Saya sudah mendengar kisah perjuangan mereka -- di gunung, di perbatasan, di tepi pantai, di tempat-tempat yang jauh sekali -- dalam mendorong masyarakat untuk membaca buku.

Ada yang lewat perahu, ada yang naik bemo, ada yang dengan kuda, ada juga yang sembari berjualan jamu. Mereka memodifikasi kendaraan sedemikian rupa menjadi perpustakaan keliling. Semua itu demi akses anak-anak kita terhadap buku-buku bacaan.

Kisah para pegiat literasi ini dapat menjadi sebuah inspirasi bagi pegiat-pegiat lainnya.

Saya sudah memerintahkan kepada Menteri Pendidikan dan Kebudayaan agar di setiap titik kegiatan mereka itu dikirim minimal 10.000 buku. Pemerintah juga akan menyediakan satu hari khusus setiap bulan di mana biaya pengiriman buku akan dibebaskan.

Foto: Biro Pers Setpres",Timeline Photos,photo,https://www.facebook.com/Jokowi/photos/a.395824410606414.1073741848.390581294464059/696448483877337/?type=3,2017-05-02 08:28:20,30124,1228,1284
390581294464059_696306327224886,"Menyambut Hari Pendidikan Nasional tahun ini, saya ingin mengingatkan kembali pentingnya keberhasilan Program Kartu Indonesia Pintar (KIP).

KIP adalah komitmen besar negara dalam menjamin dan memastikan seluruh anak usia sekolah bisa terus belajar dan sekolah sampai jenjang pendidikan menengah. Anak-anak yang pintar adalah modal besar kita menuju Indonesia Maju. 

Oleh sebab itu, dalam kunjungan ke berbagai kota, saya selalu bertanya kepada anak-anak bagaimana mereka menggunakan KIP untuk mendukung kegiatan belajar dan sekolah.  Saya ingin mendengarkan langsung dari mereka manfaat KIP.

Pada Hari Pendididikan Nasional ini, untuk anak-anak yang belum sempat bercerita bagaimana Kartu Indonesia Pintar (KIP) membantu  kalian bersekolah, bisa mengirimkan cerita kalian di kolom komentar Facebook post ini.",Timeline Photos,photo,https://www.facebook.com/Jokowi/photos/a.395824410606414.1073741848.390581294464059/696306327224886/?type=3,2017-05-02 01:18:46,18673,1902,1327
390581294464059_696179010570951,"Anda bisa bertemu saya kapan saja di Hong Kong. Tentu saja, dalam bentuk figur lilin di Museum Madame Tussauds.

Berdiri di satu pojok museum, figur lilin ini memiliki latar berupa layar lebar yang tampilannya dapat diubah setiap saat. Ketika kami berkunjung ke sini, Senin, latar yang ditampilkan adalah Candi Borobudur.

Saya minta latarnya diganti setiap bulan. Bisa Labuan Bajo, Bali, Raja Ampat, Danau Toba. Ini saya kira bagus untuk promosi pariwisata kita.

Ibu Negara sendiri menganggap figur lilin ini 99 persen mirip saya 😁. Apalagi properti yang digunakan memang dikirim dari tanah air. Batik, baju putih, celana, dan sepatu, semua dari kita.

Foto: Biro Pers Setpres",Timeline Photos,photo,https://www.facebook.com/Jokowi/photos/a.395824410606414.1073741848.390581294464059/696179010570951/?type=3,2017-05-01 21:00:17,76765,6403,6514
